person_id,age_band,gender,region,urbanicity,digital_engagement_score,concept_interest_0_10,likely_to_try
P00043,25-34,Man,Midlands,Rural / small town,70.8,3.8,0
P00044,35-44,Man,London,Urban,53.6,9.4,1
P00045,55-64,Woman,South,Rural / small town,39.9,3.1,0
P00046,65-74,Man,South,Urban,42.6,5.8,0
P00047,35-44,Man,London,Urban,68.0,7.5,1
P00048,55-64,Man,South,Urban,61.6,3.5,0
P00049,25-34,Man,Scotland/Wales,Urban,81.5,5.7,0
P00050,65-74,Woman,North,Urban,40.7,4.1,0
P00051,45-54,Non-binary / other,North,Urban,53.8,5.2,0
P00052,18-24,Woman,North,Urban,81.4,5.6,0
P00053,65-74,Man,Scotland/Wales,Rural / small town,36.9,4.9,0
P00054,45-54,Man,North,Urban,75.9,3.0,0
P00055,25-34,Man,Midlands,Urban,82.4,6.6,0
P00056,35-44,Woman,South,Urban,77.6,5.5,0
P00057,18-24,Man,South,Urban,95.4,8.5,1
P00058,35-44,Woman,South,Urban,79.0,7.4,1
P00059,25-34,Woman,Midlands,Urban,85.5,6.7,0
P00060,35-44,Woman,South,Urban,87.5,5.0,0
P00061,25-34,Man,South,Urban,54.2,6.9,0
P00062,65-74,Man,Midlands,Urban,48.3,4.3,0
P00063,35-44,Man,North,Urban,75.9,5.9,0
P00064,45-54,Non-binary / other,Midlands,Rural / small town,85.2,2.2,0
P00065,45-54,Man,South,Urban,56.5,3.9,0
P00066,45-54,Woman,North,Rural / small town,59.1,5.1,0
P00067,25-34,Man,Midlands,Rural / small town,94.5,4.3,0
P00068,65-74,Man,North,Urban,25.4,0.0,0
P00069,35-44,Woman,South,Urban,81.7,5.0,0
P00070,65-74,Woman,North,Rural / small town,51.8,2.9,0
P00071,45-54,Man,North,Urban,62.8,3.2,0
P00072,35-44,Woman,South,Rural / small town,74.0,5.0,0
P00073,25-34,Man,North,Urban,58.9,6.2,0
P00074,35-44,Woman,North,Urban,66.4,2.1,0
P00075,18-24,Woman,London,Urban,88.4,4.5,0
P00076,65-74,Woman,North,Urban,68.6,5.0,0
P00077,45-54,Woman,North,Urban,76.3,4.3,0
P00078,45-54,Man,Scotland/Wales,Rural / small town,40.3,5.7,0
P00079,25-34,Man,North,Urban,69.9,5.8,0
P00080,35-44,Man,Scotland/Wales,Urban,58.0,5.4,0
P00081,35-44,Woman,London,Urban,76.0,7.7,1
P00082,35-44,Woman,Midlands,Urban,70.8,5.1,0
P00083,18-24,Man,South,Urban,89.4,7.1,1
P00084,25-34,Man,Scotland/Wales,Urban,91.3,6.9,0
P00085,65-74,Woman,London,Rural / small town,37.7,1.1,0
P00086,35-44,Woman,Scotland/Wales,Urban,90.8,6.0,0
P00087,25-34,Man,Midlands,Urban,70.3,4.9,0
P00088,65-74,Woman,Midlands,Rural / small town,16.3,2.8,0
P00089,25-34,Man,Midlands,Urban,68.4,6.0,0
P00090,25-34,Man,North,Rural / small town,75.5,5.7,0
P00091,55-64,Woman,South,Rural / small town,58.3,4.0,0
P00092,55-64,Woman,Midlands,Rural / small town,24.1,4.5,0
P00093,25-34,Man,South,Rural / small town,78.6,7.2,1
P00094,35-44,Man,North,Urban,81.2,6.2,0
P00095,18-24,Woman,North,Urban,81.5,4.2,0
P00096,25-34,Man,North,Rural / small town,62.9,6.8,0
P00097,55-64,Woman,South,Urban,57.5,5.7,0
P00098,25-34,Man,North,Urban,86.1,3.0,0
P00099,25-34,Man,Scotland/Wales,Urban,93.3,5.5,0
P00100,55-64,Man,North,Rural / small town,48.2,2.6,0
P00101,18-24,Woman,Midlands,Urban,82.7,8.0,1
P00102,45-54,Woman,South,Urban,67.0,3.3,0
P00103,65-74,Man,South,Urban,33.9,1.2,0
P00104,35-44,Woman,Scotland/Wales,Urban,65.8,6.4,0
P00105,55-64,Woman,North,Urban,59.8,6.0,0
P00106,25-34,Woman,South,Urban,76.1,7.5,1
P00107,55-64,Woman,Scotland/Wales,Rural / small town,35.2,2.0,0
P00108,65-74,Woman,Midlands,Rural / small town,40.3,2.7,0
P00109,45-54,Woman,North,Rural / small town,57.7,4.2,0
P00110,25-34,Woman,South,Urban,73.9,7.0,1
P00111,55-64,Woman,North,Urban,44.6,5.9,0
P00112,65-74,Man,South,Urban,46.0,0.0,0
P00113,25-34,Man,London,Urban,74.0,4.8,0
P00114,35-44,Man,Scotland/Wales,Rural / small town,68.8,7.8,1
P00115,18-24,Man,South,Urban,84.3,6.3,0
P00116,35-44,Man,North,Rural / small town,59.5,4.2,0
P00117,65-74,Man,London,Rural / small town,30.2,6.4,0
P00118,65-74,Man,North,Urban,27.4,1.6,0
P00119,55-64,Woman,South,Urban,54.7,3.2,0
P00120,55-64,Woman,London,Urban,46.3,4.8,0
P00121,18-24,Man,Midlands,Urban,100.0,6.5,0
P00122,45-54,Woman,Scotland/Wales,Rural / small town,64.1,4.6,0
P00123,25-34,Man,South,Urban,68.5,6.2,0
P00124,25-34,Woman,Midlands,Rural / small town,52.5,4.6,0
P00125,18-24,Woman,North,Urban,78.0,4.3,0
P00126,25-34,Woman,London,Urban,66.9,7.7,1
P00127,65-74,Woman,Scotland/Wales,Urban,58.3,2.7,0
P00128,55-64,Woman,North,Rural / small town,58.9,6.3,0
P00129,65-74,Woman,Scotland/Wales,Urban,40.9,3.9,0
P00130,35-44,Woman,London,Urban,71.1,8.8,1
P00131,25-34,Woman,Midlands,Rural / small town,58.2,7.1,1
P00132,65-74,Woman,North,Urban,50.5,2.5,0
P00133,35-44,Woman,North,Urban,48.0,4.3,0
P00134,45-54,Woman,South,Urban,74.6,4.8,0
P00135,45-54,Man,London,Urban,72.6,4.2,0
P00136,55-64,Woman,Scotland/Wales,Urban,39.5,1.8,0
P00137,25-34,Woman,South,Rural / small town,85.6,5.2,0
P00138,35-44,Man,South,Urban,70.5,9.0,1
P00139,55-64,Man,Midlands,Urban,43.2,0.5,0
P00140,18-24,Man,London,Urban,71.7,5.0,0
P00141,18-24,Woman,Midlands,Urban,91.7,6.1,0
P00142,55-64,Man,Scotland/Wales,Rural / small town,43.7,5.9,0
P00143,65-74,Woman,North,Urban,50.8,4.1,0
P00144,25-34,Man,Scotland/Wales,Urban,88.6,7.3,1
P00145,45-54,Woman,Midlands,Rural / small town,48.1,1.7,0
P00146,55-64,Woman,London,Urban,39.7,4.5,0
P00147,65-74,Man,South,Urban,30.7,2.0,0
P00148,18-24,Man,Scotland/Wales,Rural / small town,48.1,4.2,0
P00149,65-74,Woman,South,Rural / small town,38.5,3.3,0
P00150,65-74,Woman,North,Rural / small town,38.1,2.6,0
P00151,25-34,Man,Scotland/Wales,Rural / small town,77.0,7.5,1
P00152,18-24,Man,South,Rural / small town,74.5,6.3,0
P00153,45-54,Man,South,Urban,71.0,4.6,0
P00154,18-24,Woman,Midlands,Urban,65.5,6.4,0
P00155,25-34,Man,Scotland/Wales,Rural / small town,71.3,5.6,0
P00156,25-34,Woman,North,Rural / small town,48.9,1.3,0
P00157,25-34,Man,Midlands,Urban,86.2,7.3,1
P00158,25-34,Man,Scotland/Wales,Rural / small town,52.9,5.6,0
P00159,45-54,Man,South,Urban,76.0,2.8,0
P00160,45-54,Man,South,Rural / small town,72.3,5.5,0
P00161,25-34,Woman,Scotland/Wales,Urban,70.9,7.8,1
P00162,35-44,Woman,South,Urban,58.4,6.4,0
P00163,45-54,Man,Midlands,Urban,100.0,8.4,1
P00164,45-54,Man,North,Urban,66.1,6.4,0
P00165,18-24,Man,North,Urban,81.5,5.9,0
P00166,55-64,Woman,North,Rural / small town,41.7,3.3,0
P00167,35-44,Woman,North,Rural / small town,64.2,5.7,0
P00168,18-24,Woman,London,Urban,72.7,8.1,1
P00169,45-54,Woman,North,Urban,46.0,8.0,1
P00170,25-34,Man,London,Urban,100.0,5.2,0
P00171,25-34,Woman,Scotland/Wales,Urban,84.7,6.2,0
P00172,25-34,Man,Scotland/Wales,Urban,72.2,7.2,1
P00173,35-44,Man,Scotland/Wales,Rural / small town,64.7,3.2,0
P00174,25-34,Woman,London,Urban,93.6,8.1,1
P00175,55-64,Woman,Scotland/Wales,Urban,32.6,0.9,0
P00176,35-44,Woman,Midlands,Rural / small town,37.4,5.5,0
P00177,25-34,Woman,South,Urban,64.9,5.3,0
P00178,55-64,Woman,North,Urban,48.0,6.0,0
P00179,35-44,Woman,Midlands,Rural / small town,58.0,4.4,0
P00180,55-64,Woman,North,Urban,47.5,4.2,0
P00181,25-34,Man,London,Urban,75.4,7.6,1
P00182,35-44,Woman,Scotland/Wales,Rural / small town,77.0,1.8,0
P00183,25-34,Woman,North,Urban,66.5,6.1,0
P00184,35-44,Man,North,Urban,72.7,2.7,0
P00185,35-44,Man,North,Urban,59.6,6.9,0
P00186,25-34,Man,South,Urban,89.5,6.4,0
P00187,35-44,Man,South,Urban,53.1,7.5,1
P00188,25-34,Woman,North,Urban,77.8,3.8,0
P00189,65-74,Man,South,Urban,47.7,3.9,0
P00190,35-44,Man,Midlands,Urban,81.0,5.3,0
P00191,25-34,Woman,Midlands,Rural / small town,56.7,0.6,0
P00192,65-74,Man,South,Rural / small town,21.1,1.7,0
P00193,35-44,Woman,London,Urban,79.2,6.9,0
P00194,35-44,Man,North,Rural / small town,74.9,3.3,0
P00195,55-64,Man,Scotland/Wales,Urban,53.2,4.8,0
P00196,25-34,Man,Midlands,Rural / small town,49.5,4.7,0
P00197,55-64,Woman,North,Urban,65.4,5.8,0
P00198,18-24,Man,North,Rural / small town,98.2,6.3,0
P00199,55-64,Man,South,Rural / small town,59.6,3.0,0
P00200,25-34,Woman,South,Urban,68.6,5.8,0
P00201,45-54,Man,Midlands,Rural / small town,69.8,3.0,0
P00202,45-54,Woman,London,Urban,33.9,3.0,0
P00203,35-44,Woman,Midlands,Urban,74.9,5.9,0
P00204,35-44,Woman,North,Urban,66.8,6.7,0
P00205,65-74,Woman,Midlands,Rural / small town,27.8,3.4,0
P00206,18-24,Woman,North,Rural / small town,74.4,4.5,0
P00207,65-74,Woman,South,Urban,63.8,3.8,0
P00208,45-54,Woman,North,Urban,36.0,3.7,0
P00209,45-54,Woman,South,Urban,78.8,6.7,0
P00210,35-44,Man,North,Urban,66.0,6.0,0
P00211,35-44,Man,Scotland/Wales,Rural / small town,85.4,5.4,0
P00212,55-64,Woman,North,Urban,64.7,4.4,0
P00213,65-74,Woman,Scotland/Wales,Rural / small town,17.1,2.3,0
P00214,65-74,Man,South,Rural / small town,14.8,1.7,0
P00215,65-74,Man,North,Urban,53.5,6.1,0
P00216,25-34,Man,London,Urban,74.4,2.3,0
P00217,35-44,Non-binary / other,South,Urban,85.0,8.0,1
P00218,45-54,Woman,Midlands,Urban,62.5,5.9,0
P00219,65-74,Man,South,Urban,45.4,2.9,0
P00220,35-44,Woman,Scotland/Wales,Rural / small town,59.5,4.9,0
P00221,18-24,Man,North,Urban,81.7,2.5,0
P00222,25-34,Man,Scotland/Wales,Rural / small town,100.0,8.0,1
P00223,45-54,Woman,North,Urban,57.2,5.0,0
P00224,65-74,Woman,Midlands,Urban,36.3,8.1,1
P00225,65-74,Woman,South,Rural / small town,59.9,3.9,0
P00226,65-74,Woman,Midlands,Rural / small town,13.3,3.4,0
P00227,25-34,Woman,Scotland/Wales,Rural / small town,47.5,5.1,0
P00228,18-24,Man,North,Urban,63.6,5.5,0
P00229,25-34,Woman,Midlands,Urban,84.4,4.7,0
P00230,55-64,Woman,North,Urban,49.0,4.7,0
P00231,35-44,Man,North,Urban,54.3,1.9,0
P00232,35-44,Man,Midlands,Urban,86.1,6.5,0
P00233,35-44,Man,London,Urban,71.0,5.1,0
P00234,18-24,Woman,South,Urban,75.7,6.0,0
P00235,35-44,Woman,North,Urban,85.7,4.9,0
P00236,65-74,Woman,North,Rural / small town,22.2,3.0,0
P00237,65-74,Man,Scotland/Wales,Rural / small town,35.5,2.0,0
P00238,25-34,Woman,Midlands,Rural / small town,79.3,6.9,0
P00239,25-34,Man,North,Rural / small town,67.7,3.4,0
P00240,35-44,Woman,South,Rural / small town,67.0,4.4,0
P00241,55-64,Woman,Scotland/Wales,Urban,64.1,6.6,0
P00242,25-34,Woman,South,Urban,78.3,6.4,0
P00243,35-44,Woman,Midlands,Urban,82.4,6.6,0
P00244,65-74,Woman,Midlands,Urban,44.4,2.2,0
P00245,25-34,Woman,North,Urban,71.5,7.4,1
P00246,25-34,Woman,North,Rural / small town,55.8,7.3,1
P00247,55-64,Man,South,Rural / small town,51.1,1.2,0
P00248,18-24,Man,South,Rural / small town,76.2,4.3,0
P00249,18-24,Man,North,Urban,62.6,8.3,1
P00250,18-24,Woman,Midlands,Urban,65.7,0.6,0
P00251,45-54,Woman,South,Rural / small town,82.2,3.0,0
P00252,55-64,Man,Scotland/Wales,Rural / small town,38.2,2.1,0
P00253,45-54,Woman,North,Urban,56.5,2.6,0
P00254,65-74,Man,Scotland/Wales,Urban,49.9,4.5,0
P00255,35-44,Woman,North,Urban,75.8,7.2,1
P00256,45-54,Man,London,Urban,64.3,5.6,0
P00257,65-74,Man,South,Urban,42.9,2.4,0
P00258,65-74,Woman,London,Urban,35.0,1.9,0
P00259,25-34,Woman,Scotland/Wales,Urban,63.8,8.3,1
P00260,55-64,Woman,South,Urban,49.6,4.9,0
P00261,18-24,Woman,South,Urban,100.0,9.5,1
P00262,65-74,Man,South,Urban,49.7,3.3,0
P00263,65-74,Woman,South,Urban,45.6,4.2,0
P00264,35-44,Woman,North,Urban,72.2,6.9,0
P00265,25-34,Man,North,Rural / small town,59.4,5.8,0
P00266,45-54,Woman,North,Urban,66.8,8.2,1
P00267,35-44,Man,South,Rural / small town,64.1,5.4,0
P00268,35-44,Man,London,Urban,66.3,5.1,0
P00269,18-24,Woman,South,Urban,94.8,8.7,1
P00270,25-34,Woman,Scotland/Wales,Urban,73.4,4.0,0
P00271,55-64,Woman,North,Urban,50.8,3.3,0
P00272,45-54,Woman,North,Urban,45.1,4.3,0
P00273,35-44,Woman,London,Urban,73.0,7.7,1
P00274,35-44,Man,Scotland/Wales,Urban,77.6,6.0,0
P00275,35-44,Man,South,Rural / small town,49.7,5.5,0
P00276,65-74,Woman,North,Rural / small town,15.5,3.2,0
P00277,65-74,Man,Scotland/Wales,Rural / small town,31.0,4.9,0
P00278,25-34,Man,Midlands,Rural / small town,77.7,5.5,0
P00279,35-44,Woman,North,Urban,67.8,6.0,0
P00280,35-44,Man,Midlands,Rural / small town,44.8,2.7,0
P00281,35-44,Woman,London,Rural / small town,65.8,7.2,1
P00282,25-34,Woman,North,Rural / small town,58.3,4.6,0
P00283,18-24,Woman,South,Urban,82.6,4.8,0
P00284,25-34,Non-binary / other,Scotland/Wales,Rural / small town,79.7,4.5,0
P00285,65-74,Woman,South,Rural / small town,47.2,3.6,0
P00286,35-44,Man,Scotland/Wales,Urban,79.1,4.4,0
P00287,25-34,Woman,Midlands,Urban,73.2,5.4,0
P00288,35-44,Non-binary / other,London,Rural / small town,54.2,3.8,0
P00289,18-24,Man,Scotland/Wales,Urban,86.7,3.4,0
P00290,35-44,Man,North,Urban,69.3,6.2,0
P00291,35-44,Woman,Scotland/Wales,Urban,61.2,5.8,0
P00292,65-74,Man,North,Rural / small town,43.5,0.7,0
P00293,55-64,Man,Scotland/Wales,Rural / small town,45.8,1.6,0
P00294,45-54,Man,London,Urban,77.5,5.0,0
P00295,65-74,Man,North,Urban,73.9,7.0,1
P00296,25-34,Woman,South,Urban,74.2,7.9,1
P00297,65-74,Man,South,Urban,53.7,-0.0,0
P00298,18-24,Woman,South,Rural / small town,90.7,5.9,0
P00299,55-64,Man,North,Urban,60.3,1.7,0
P00300,65-74,Man,London,Urban,64.2,5.4,0
P00301,55-64,Woman,North,Rural / small town,17.1,2.8,0
P00302,45-54,Woman,North,Urban,73.1,6.8,0
P00303,55-64,Man,Midlands,Urban,41.1,1.4,0
P00304,18-24,Man,North,Urban,91.6,6.5,0
P00305,18-24,Man,South,Urban,78.6,6.3,0
P00306,18-24,Woman,South,Urban,73.1,8.4,1
P00307,18-24,Woman,North,Urban,91.5,6.9,0
P00308,45-54,Man,South,Urban,90.9,5.7,0
P00309,45-54,Man,North,Urban,51.2,3.1,0
P00310,35-44,Man,Midlands,Rural / small town,45.0,3.6,0
P00311,65-74,Man,North,Urban,32.6,1.9,0
P00312,45-54,Woman,South,Urban,40.9,3.9,0
P00313,25-34,Woman,South,Urban,88.2,4.8,0
P00314,55-64,Woman,London,Rural / small town,48.8,2.8,0
P00315,35-44,Man,Midlands,Rural / small town,68.4,3.1,0
P00316,25-34,Woman,Scotland/Wales,Urban,49.8,6.4,0
P00317,45-54,Man,North,Urban,75.8,6.2,0
P00318,55-64,Woman,South,Urban,59.7,4.2,0
P00319,65-74,Woman,North,Urban,38.7,6.7,0
P00320,35-44,Man,Midlands,Rural / small town,88.4,7.2,1
P00321,35-44,Woman,Midlands,Rural / small town,64.1,2.2,0
P00322,55-64,Man,South,Rural / small town,49.9,2.8,0
P00323,35-44,Woman,North,Rural / small town,76.2,5.1,0
P00324,18-24,Man,North,Urban,65.9,4.5,0
P00325,65-74,Woman,Scotland/Wales,Rural / small town,23.6,3.6,0
P00326,55-64,Man,North,Urban,54.3,5.0,0
P00327,25-34,Woman,London,Urban,83.9,8.6,1
P00328,45-54,Man,North,Urban,57.8,2.8,0
P00329,18-24,Woman,South,Urban,77.6,6.9,0
P00330,18-24,Man,South,Rural / small town,75.6,4.2,0
P00331,25-34,Woman,North,Rural / small town,70.6,4.5,0
P00332,65-74,Woman,Midlands,Urban,44.8,3.9,0
P00333,25-34,Woman,Scotland/Wales,Urban,79.1,7.6,1
P00334,18-24,Man,South,Rural / small town,89.2,5.2,0
P00335,18-24,Woman,North,Urban,63.9,3.8,0
P00336,25-34,Man,South,Rural / small town,76.3,5.0,0
P00337,25-34,Woman,North,Urban,74.2,6.0,0
P00338,45-54,Man,London,Urban,51.6,3.0,0
P00339,18-24,Man,London,Rural / small town,80.5,7.4,1
P00340,25-34,Man,Midlands,Urban,91.1,5.2,0
P00341,25-34,Man,Midlands,Urban,74.3,5.9,0
P00342,35-44,Man,South,Urban,85.3,4.7,0
P00343,55-64,Woman,South,Urban,73.1,4.1,0
P00344,35-44,Man,Scotland/Wales,Urban,75.0,5.2,0
P00345,55-64,Man,London,Urban,37.3,4.3,0
P00346,25-34,Man,Scotland/Wales,Urban,74.6,5.3,0
P00347,45-54,Woman,North,Urban,65.2,5.2,0
P00348,25-34,Woman,Midlands,Urban,75.6,4.8,0
P00349,18-24,Man,Midlands,Urban,81.0,5.8,0
P00350,18-24,Woman,North,Urban,87.5,8.6,1
P00351,25-34,Woman,North,Urban,73.3,3.5,0
P00352,35-44,Man,South,Urban,75.9,6.9,0
P00353,45-54,Woman,London,Urban,61.4,6.7,0
P00354,35-44,Man,North,Urban,49.4,7.3,1
P00355,45-54,Woman,North,Urban,77.8,7.9,1
P00356,45-54,Man,South,Rural / small town,50.6,8.6,1
P00357,45-54,Woman,South,Urban,61.7,6.6,0
P00358,45-54,Man,North,Urban,86.4,4.9,0
P00359,35-44,Woman,Midlands,Rural / small town,65.3,6.3,0
P00360,55-64,Woman,North,Urban,61.5,6.6,0
P00361,25-34,Non-binary / other,South,Urban,73.9,8.1,1
P00362,55-64,Woman,South,Urban,39.1,3.8,0
P00363,35-44,Woman,London,Urban,74.2,6.6,0
P00364,45-54,Man,South,Rural / small town,69.2,6.0,0
P00365,45-54,Woman,North,Urban,74.4,5.0,0
P00366,25-34,Woman,North,Urban,90.5,5.2,0
P00367,45-54,Man,London,Urban,61.1,4.6,0
P00368,55-64,Man,Scotland/Wales,Urban,67.5,3.6,0
P00369,35-44,Woman,Scotland/Wales,Urban,93.1,7.0,1
P00370,65-74,Woman,North,Urban,42.9,2.4,0
P00371,25-34,Woman,London,Urban,96.6,7.5,1
P00372,55-64,Woman,North,Rural / small town,62.4,3.9,0
P00373,25-34,Man,Midlands,Urban,92.1,5.2,0
P00374,35-44,Woman,North,Urban,67.1,4.4,0
P00375,65-74,Man,Scotland/Wales,Urban,41.9,2.9,0
P00376,25-34,Man,North,Rural / small town,75.1,5.0,0
P00377,55-64,Man,South,Urban,52.0,5.0,0
P00378,35-44,Woman,Midlands,Urban,77.1,8.3,1
P00379,18-24,Man,Midlands,Urban,85.6,2.6,0
P00380,45-54,Man,North,Urban,61.5,6.3,0
P00381,55-64,Woman,Midlands,Rural / small town,40.6,3.4,0
P00382,55-64,Woman,London,Urban,66.3,3.8,0
P00383,35-44,Man,Midlands,Urban,50.1,5.0,0
P00384,25-34,Woman,Midlands,Urban,74.1,6.2,0
P00385,25-34,Woman,Scotland/Wales,Urban,63.6,5.0,0
P00386,65-74,Woman,London,Urban,31.0,0.8,0
P00387,45-54,Man,Midlands,Rural / small town,47.9,4.8,0
P00388,18-24,Man,Midlands,Urban,98.2,6.7,0
P00389,25-34,Woman,London,Urban,80.7,5.4,0
P00390,25-34,Man,South,Urban,67.6,3.9,0
P00391,25-34,Woman,South,Urban,89.5,7.1,1
P00392,25-34,Man,Scotland/Wales,Urban,88.1,4.9,0
P00393,65-74,Woman,North,Urban,58.7,3.9,0
P00394,45-54,Man,London,Urban,75.8,6.6,0
P00395,45-54,Man,London,Urban,75.2,6.0,0
P00396,45-54,Woman,North,Urban,60.3,4.2,0
P00397,45-54,Woman,South,Rural / small town,50.4,4.0,0
P00398,45-54,Man,Midlands,Urban,64.7,4.5,0
P00399,65-74,Man,North,Urban,39.2,2.8,0
P00400,55-64,Woman,Scotland/Wales,Rural / small town,65.9,3.9,0
P00401,35-44,Man,South,Rural / small town,55.4,5.0,0
P00402,35-44,Man,London,Urban,57.9,6.9,0
P00403,25-34,Man,Midlands,Urban,94.5,5.9,0
P00404,55-64,Man,South,Urban,53.3,5.4,0
P00405,25-34,Man,Scotland/Wales,Urban,81.2,3.7,0
P00406,25-34,Man,North,Rural / small town,82.6,4.9,0
P00407,25-34,Woman,Midlands,Urban,91.7,6.7,0
P00408,35-44,Woman,Scotland/Wales,Urban,65.9,3.3,0
P00409,65-74,Man,Midlands,Urban,39.4,3.8,0
P00410,55-64,Man,South,Urban,57.2,5.7,0
P00411,45-54,Woman,London,Urban,47.2,4.2,0
P00412,65-74,Man,South,Rural / small town,48.8,2.7,0
P00413,65-74,Man,Midlands,Urban,46.9,5.8,0
P00414,55-64,Man,Midlands,Urban,54.7,5.6,0
P00415,18-24,Woman,London,Urban,79.0,6.5,0
P00416,35-44,Man,Midlands,Urban,58.9,3.0,0
P00417,25-34,Woman,North,Urban,100.0,7.6,1
P00418,18-24,Woman,London,Urban,68.7,3.7,0
P00419,35-44,Man,North,Urban,48.4,3.7,0
P00420,35-44,Woman,South,Rural / small town,76.2,1.7,0
P00421,45-54,Woman,North,Urban,72.2,7.0,1
P00422,35-44,Woman,South,Urban,53.0,3.9,0
P00423,35-44,Woman,North,Urban,71.4,5.7,0
P00424,25-34,Woman,Scotland/Wales,Rural / small town,67.4,3.7,0
P00425,35-44,Man,Scotland/Wales,Urban,93.5,7.3,1
P00426,45-54,Woman,North,Rural / small town,65.0,0.6,0
P00427,25-34,Woman,South,Urban,72.6,4.5,0
P00428,55-64,Man,North,Urban,52.2,4.8,0
P00429,45-54,Man,Midlands,Urban,84.0,8.0,1
P00430,25-34,Woman,North,Rural / small town,78.8,3.9,0
P00431,55-64,Woman,North,Urban,60.1,5.7,0
P00432,35-44,Woman,South,Urban,60.8,4.6,0
P00433,18-24,Man,Midlands,Rural / small town,73.4,5.6,0
P00434,25-34,Man,London,Urban,77.8,7.9,1
P00435,65-74,Man,South,Urban,46.6,6.1,0
P00436,35-44,Woman,South,Rural / small town,72.8,5.4,0
P00437,55-64,Man,North,Urban,41.3,3.6,0
P00438,45-54,Woman,North,Rural / small town,60.6,3.3,0
P00439,18-24,Man,London,Urban,67.3,5.0,0
P00440,25-34,Man,Scotland/Wales,Rural / small town,70.8,3.3,0
P00441,25-34,Woman,North,Urban,88.4,4.0,0
P00442,65-74,Woman,Scotland/Wales,Rural / small town,39.8,2.0,0
P00443,45-54,Woman,London,Urban,39.1,5.0,0
P00444,55-64,Woman,Midlands,Urban,41.3,4.2,0
P00445,25-34,Woman,Scotland/Wales,Urban,77.2,2.7,0
P00446,25-34,Man,South,Urban,76.2,4.2,0
P00447,45-54,Woman,London,Urban,50.7,4.9,0
P00448,35-44,Woman,South,Rural / small town,68.9,1.7,0
P00449,45-54,Woman,North,Rural / small town,57.4,6.9,0
P00450,65-74,Man,Midlands,Urban,19.4,5.3,0
P00451,45-54,Man,Midlands,Urban,66.6,3.0,0
P00452,55-64,Woman,Midlands,Urban,57.2,3.1,0
P00453,35-44,Woman,North,Urban,73.9,2.4,0
P00454,45-54,Man,London,Urban,93.8,4.6,0
P00455,45-54,Woman,Scotland/Wales,Urban,59.0,5.8,0
P00456,45-54,Non-binary / other,Scotland/Wales,Rural / small town,70.5,3.9,0
P00457,55-64,Man,Midlands,Urban,61.5,2.7,0
P00458,18-24,Woman,Midlands,Urban,80.4,6.5,0
P00459,25-34,Woman,North,Urban,86.8,7.3,1
P00460,35-44,Man,North,Rural / small town,60.3,6.9,0
P00461,65-74,Man,South,Urban,45.7,3.2,0
P00462,65-74,Woman,North,Urban,40.5,3.5,0
