strategy,person_id,age_band,gender,region,urbanicity,digital_engagement_score,concept_interest_0_10,likely_to_try
Simple random,P11455,45-54,Woman,Scotland/Wales,Rural / small town,41.4,5.4,0
Simple random,P08353,25-34,Woman,North,Rural / small town,68.1,3.6,0
Simple random,P38496,25-34,Woman,Midlands,Urban,100.0,6.6,0
Simple random,P35259,45-54,Woman,North,Urban,47.4,5.3,0
Simple random,P01001,55-64,Man,South,Urban,51.4,3.0,0
Simple random,P39131,35-44,Woman,London,Urban,53.2,6.4,0
Simple random,P43277,55-64,Man,Midlands,Urban,44.8,5.7,0
Simple random,P32836,25-34,Woman,North,Urban,84.8,7.2,1
Simple random,P23747,55-64,Woman,North,Urban,43.5,4.1,0
Simple random,P07342,35-44,Man,North,Rural / small town,73.4,8.8,1
Simple random,P15385,55-64,Man,South,Urban,75.5,4.3,0
Simple random,P44467,55-64,Man,Midlands,Urban,44.0,4.5,0
Simple random,P17584,35-44,Man,Midlands,Urban,62.1,4.9,0
Simple random,P40713,18-24,Woman,London,Urban,73.7,8.6,1
Simple random,P14075,18-24,Woman,Midlands,Urban,82.6,6.0,0
Simple random,P49944,18-24,Man,Midlands,Urban,98.6,3.8,0
Simple random,P22829,25-34,Man,London,Rural / small town,64.0,5.2,0
Simple random,P20153,25-34,Man,London,Urban,86.0,8.6,1
Simple random,P13941,65-74,Man,Scotland/Wales,Urban,46.5,1.6,0
Simple random,P17617,25-34,Man,South,Urban,71.3,4.1,0
Simple random,P33407,55-64,Woman,London,Rural / small town,49.4,3.6,0
Simple random,P45226,45-54,Woman,North,Urban,56.8,3.6,0
Simple random,P11757,25-34,Man,Midlands,Urban,56.5,5.7,0
Simple random,P46941,18-24,Man,Scotland/Wales,Rural / small town,77.1,5.5,0
Simple random,P04041,25-34,Woman,London,Rural / small town,94.4,6.9,0
Simple random,P47833,55-64,Man,North,Urban,58.1,6.0,0
Simple random,P40345,25-34,Woman,North,Urban,79.7,5.8,0
Simple random,P22926,65-74,Woman,South,Rural / small town,7.5,2.4,0
Simple random,P42321,25-34,Woman,North,Urban,79.7,6.0,0
Simple random,P05496,55-64,Non-binary / other,Scotland/Wales,Urban,53.9,3.8,0
Simple random,P10576,25-34,Man,Scotland/Wales,Rural / small town,80.4,6.2,0
Simple random,P03092,18-24,Man,Midlands,Urban,64.3,6.4,0
Simple random,P24571,55-64,Woman,Scotland/Wales,Urban,67.4,4.8,0
Simple random,P33235,35-44,Man,Midlands,Urban,81.4,5.8,0
Simple random,P41444,18-24,Woman,London,Urban,67.3,5.5,0
Simple random,P31925,25-34,Man,Midlands,Urban,68.0,4.1,0
Simple random,P09643,18-24,Woman,South,Urban,93.7,7.8,1
Simple random,P12049,45-54,Woman,North,Rural / small town,52.7,2.2,0
Simple random,P35402,55-64,Man,Scotland/Wales,Urban,78.5,3.4,0
Simple random,P03357,25-34,Woman,Midlands,Rural / small town,89.2,3.9,0
Simple random,P09507,45-54,Man,North,Rural / small town,65.7,5.6,0
Simple random,P00971,25-34,Woman,Midlands,Urban,77.6,6.5,0
Simple random,P47316,18-24,Man,South,Urban,80.7,3.4,0
Simple random,P01350,65-74,Man,South,Urban,48.2,3.8,0
Simple random,P35996,35-44,Man,Scotland/Wales,Urban,74.5,6.2,0
Simple random,P33504,45-54,Woman,North,Urban,35.2,4.3,0
Simple random,P26067,55-64,Man,London,Urban,55.0,3.5,0
Simple random,P34854,35-44,Man,Scotland/Wales,Rural / small town,53.9,5.3,0
Simple random,P08975,25-34,Woman,London,Urban,91.0,8.3,1
Simple random,P12390,55-64,Man,South,Rural / small town,31.7,7.3,1
Simple random,P36897,25-34,Man,Midlands,Urban,60.2,5.9,0
Simple random,P40615,25-34,Man,North,Urban,83.3,6.2,0
Simple random,P16296,25-34,Man,London,Urban,100.0,5.3,0
Simple random,P40114,18-24,Man,South,Urban,81.6,5.6,0
Simple random,P26250,65-74,Woman,North,Urban,32.6,2.7,0
Simple random,P10464,45-54,Man,London,Urban,66.9,6.9,0
Simple random,P34251,45-54,Woman,North,Rural / small town,44.5,4.0,0
Simple random,P45135,25-34,Man,London,Rural / small town,65.5,4.3,0
Simple random,P22836,18-24,Man,North,Urban,82.5,8.6,1
Simple random,P48416,35-44,Woman,South,Urban,68.5,3.7,0
Simple random,P31363,18-24,Woman,Midlands,Urban,72.6,4.1,0
Simple random,P10002,55-64,Woman,Scotland/Wales,Urban,47.8,3.1,0
Simple random,P08134,35-44,Woman,Midlands,Urban,64.1,5.9,0
Simple random,P25832,55-64,Woman,South,Urban,42.8,5.2,0
Simple random,P28185,35-44,Woman,North,Urban,61.6,4.4,0
Simple random,P32664,18-24,Woman,Midlands,Rural / small town,73.6,6.7,0
Simple random,P46498,18-24,Man,South,Urban,86.0,4.9,0
Simple random,P42676,35-44,Man,South,Urban,82.5,7.4,1
Simple random,P05747,25-34,Woman,South,Urban,71.5,5.9,0
Simple random,P25172,45-54,Woman,Midlands,Urban,63.6,4.2,0
Simple random,P14444,45-54,Man,North,Urban,75.0,5.6,0
Simple random,P47001,65-74,Woman,North,Urban,23.4,4.0,0
Simple random,P10244,65-74,Man,Scotland/Wales,Urban,53.6,3.3,0
Simple random,P13930,55-64,Woman,Scotland/Wales,Urban,54.0,2.1,0
Simple random,P29427,18-24,Woman,Midlands,Urban,82.8,8.2,1
Simple random,P25180,18-24,Woman,North,Urban,100.0,6.0,0
Simple random,P13122,25-34,Woman,South,Urban,87.7,7.3,1
Simple random,P32273,35-44,Man,South,Urban,52.8,6.0,0
Simple random,P48501,65-74,Man,South,Urban,29.9,1.8,0
Simple random,P41804,45-54,Woman,South,Urban,63.5,3.9,0
Simple random,P13666,55-64,Woman,North,Urban,27.3,3.2,0
Simple random,P23720,18-24,Man,South,Urban,65.1,4.7,0
Simple random,P15704,45-54,Woman,South,Urban,45.7,4.7,0
Simple random,P29021,45-54,Man,North,Rural / small town,75.1,4.1,0
Simple random,P01012,45-54,Woman,North,Urban,66.8,5.1,0
Simple random,P12445,35-44,Woman,North,Rural / small town,56.7,5.7,0
Simple random,P26160,25-34,Woman,South,Urban,76.3,9.0,1
Simple random,P40809,65-74,Woman,Midlands,Rural / small town,27.2,3.0,0
Simple random,P47948,35-44,Man,Midlands,Urban,66.0,4.5,0
Simple random,P33025,65-74,Man,Midlands,Rural / small town,24.0,4.4,0
Simple random,P48767,55-64,Woman,Midlands,Urban,57.4,4.8,0
Simple random,P15807,18-24,Woman,London,Urban,80.3,6.5,0
Simple random,P22326,55-64,Man,London,Urban,39.6,2.3,0
Simple random,P32442,55-64,Man,South,Urban,54.0,3.8,0
Simple random,P31240,25-34,Man,South,Urban,91.1,4.5,0
Simple random,P28187,18-24,Woman,London,Urban,73.0,4.5,0
Simple random,P49792,25-34,Man,Midlands,Urban,73.6,6.9,0
Simple random,P28901,45-54,Woman,South,Rural / small town,48.8,6.8,0
Simple random,P21765,55-64,Woman,London,Urban,72.7,6.5,0
Simple random,P23634,45-54,Man,Midlands,Rural / small town,31.8,2.8,0
Simple random,P18688,45-54,Woman,South,Urban,76.9,5.7,0
Simple random,P45472,18-24,Man,North,Rural / small town,78.7,3.3,0
Simple random,P11449,35-44,Man,Midlands,Urban,46.4,2.9,0
Simple random,P24198,18-24,Woman,North,Rural / small town,89.1,6.3,0
Simple random,P35168,18-24,Man,Scotland/Wales,Urban,88.1,3.8,0
Simple random,P25120,65-74,Woman,South,Urban,78.6,5.0,0
Simple random,P35970,25-34,Woman,Scotland/Wales,Urban,67.7,4.3,0
Simple random,P08754,25-34,Woman,North,Urban,80.2,5.5,0
Simple random,P06272,45-54,Woman,South,Urban,57.8,3.3,0
Simple random,P19760,55-64,Woman,South,Urban,53.4,4.6,0
Simple random,P39178,55-64,Man,London,Rural / small town,37.3,2.9,0
Simple random,P44808,55-64,Man,South,Urban,71.1,8.1,1
Simple random,P45734,65-74,Woman,London,Rural / small town,29.1,0.8,0
Simple random,P29512,18-24,Man,London,Urban,93.5,8.7,1
Simple random,P03922,45-54,Man,Midlands,Rural / small town,24.4,1.5,0
Simple random,P40285,25-34,Man,North,Urban,86.2,5.9,0
Simple random,P42378,25-34,Woman,Scotland/Wales,Urban,92.3,4.4,0
Simple random,P45933,65-74,Woman,Scotland/Wales,Urban,32.3,2.3,0
Simple random,P41277,55-64,Man,Midlands,Rural / small town,39.2,5.4,0
Simple random,P29461,45-54,Woman,North,Urban,30.8,2.5,0
Simple random,P14989,45-54,Man,South,Urban,55.4,5.9,0
Simple random,P07496,55-64,Man,Scotland/Wales,Rural / small town,46.9,4.1,0
Simple random,P30937,65-74,Man,London,Urban,41.5,3.3,0
Simple random,P10157,18-24,Woman,Scotland/Wales,Urban,87.5,5.3,0
Simple random,P06055,25-34,Man,North,Rural / small town,73.4,2.9,0
Simple random,P26228,25-34,Man,Scotland/Wales,Urban,89.6,5.2,0
Simple random,P16269,65-74,Man,South,Rural / small town,56.4,0.4,0
Simple random,P33528,25-34,Woman,Midlands,Urban,62.1,4.5,0
Simple random,P05185,18-24,Woman,Midlands,Urban,94.2,5.0,0
Simple random,P27764,18-24,Man,Midlands,Urban,99.5,8.3,1
Simple random,P05121,35-44,Woman,North,Urban,55.1,5.3,0
Simple random,P25490,25-34,Woman,North,Urban,68.2,4.5,0
Simple random,P04698,35-44,Woman,Midlands,Urban,64.0,6.7,0
Simple random,P41266,55-64,Woman,Midlands,Rural / small town,45.6,4.5,0
Simple random,P27597,45-54,Woman,North,Rural / small town,63.6,3.7,0
Simple random,P29191,35-44,Man,South,Urban,54.8,8.1,1
Simple random,P19533,45-54,Woman,North,Rural / small town,37.5,4.4,0
Simple random,P00468,18-24,Woman,London,Urban,100.0,6.3,0
Simple random,P09863,65-74,Woman,London,Urban,45.2,5.2,0
Simple random,P00792,45-54,Man,Scotland/Wales,Urban,64.8,6.2,0
Simple random,P48227,45-54,Man,Midlands,Rural / small town,41.7,1.0,0
Simple random,P49108,18-24,Man,London,Urban,88.7,6.7,0
Simple random,P18394,35-44,Woman,North,Urban,86.8,7.5,1
Simple random,P36173,18-24,Man,North,Urban,55.3,7.6,1
Simple random,P03765,25-34,Man,South,Urban,97.9,4.9,0
Simple random,P31137,45-54,Woman,Scotland/Wales,Rural / small town,58.2,4.4,0
Simple random,P25721,45-54,Woman,North,Rural / small town,72.6,4.5,0
Simple random,P18302,25-34,Man,North,Urban,85.1,4.5,0
Simple random,P28370,55-64,Man,Scotland/Wales,Urban,36.6,3.5,0
Simple random,P47127,55-64,Man,North,Urban,64.8,4.6,0
Simple random,P36317,55-64,Woman,North,Rural / small town,38.1,3.2,0
Simple random,P45336,55-64,Man,South,Urban,43.7,3.9,0
Simple random,P17339,45-54,Man,South,Rural / small town,55.3,4.5,0
Simple random,P00401,35-44,Man,South,Rural / small town,55.4,5.0,0
Simple random,P28269,65-74,Woman,Midlands,Rural / small town,29.6,0.0,0
Simple random,P38881,18-24,Man,North,Urban,69.5,8.2,1
Simple random,P22170,65-74,Woman,Scotland/Wales,Urban,52.7,1.9,0
Simple random,P25887,55-64,Man,London,Urban,71.5,5.9,0
Simple random,P44695,25-34,Man,North,Rural / small town,54.0,6.2,0
Simple random,P46318,55-64,Woman,Midlands,Urban,42.4,4.3,0
Simple random,P22599,55-64,Woman,Midlands,Urban,56.6,5.1,0
Simple random,P05746,45-54,Man,Scotland/Wales,Urban,69.4,3.9,0
Simple random,P35435,25-34,Woman,North,Urban,93.8,3.7,0
Simple random,P21460,55-64,Man,London,Rural / small town,45.4,3.3,0
Simple random,P26214,45-54,Woman,North,Urban,58.8,3.3,0
Simple random,P06380,35-44,Woman,Midlands,Rural / small town,94.2,6.8,0
Simple random,P28056,25-34,Man,North,Urban,86.8,5.3,0
Simple random,P02540,25-34,Woman,London,Rural / small town,67.0,5.3,0
Simple random,P05588,25-34,Woman,Scotland/Wales,Urban,100.0,5.9,0
Simple random,P13234,35-44,Man,South,Rural / small town,70.9,6.4,0
Simple random,P11098,25-34,Woman,London,Rural / small town,61.9,3.2,0
Simple random,P45468,25-34,Man,Scotland/Wales,Rural / small town,68.9,3.7,0
Simple random,P22699,65-74,Man,London,Urban,38.6,5.3,0
Simple random,P21198,45-54,Man,Midlands,Urban,70.9,5.8,0
Simple random,P30527,45-54,Woman,Midlands,Urban,72.4,1.7,0
Simple random,P40564,55-64,Man,Midlands,Rural / small town,39.2,2.6,0
Simple random,P49351,35-44,Man,South,Urban,91.4,6.8,0
Simple random,P48519,45-54,Woman,Midlands,Urban,49.9,2.1,0
Simple random,P20517,35-44,Woman,South,Urban,69.7,4.2,0
Simple random,P47868,45-54,Man,Scotland/Wales,Urban,35.8,1.6,0
Simple random,P04587,25-34,Man,South,Rural / small town,89.8,4.6,0
Simple random,P38771,25-34,Man,North,Rural / small town,74.6,7.6,1
Simple random,P25858,25-34,Man,South,Urban,88.2,6.7,0
Simple random,P39984,45-54,Man,North,Rural / small town,63.1,3.7,0
Simple random,P26191,45-54,Man,South,Urban,43.6,2.7,0
Simple random,P47226,25-34,Woman,South,Urban,86.6,6.7,0
Simple random,P03711,35-44,Woman,North,Urban,72.7,4.6,0
Simple random,P23823,55-64,Man,London,Urban,20.9,3.4,0
Simple random,P36950,55-64,Man,Scotland/Wales,Urban,44.0,4.8,0
Simple random,P29963,18-24,Woman,Scotland/Wales,Rural / small town,85.6,5.4,0
Simple random,P06559,45-54,Woman,South,Urban,85.6,3.7,0
Simple random,P23880,65-74,Man,Scotland/Wales,Rural / small town,33.5,2.8,0
Simple random,P40977,25-34,Woman,North,Urban,76.5,8.4,1
Simple random,P33856,25-34,Woman,South,Rural / small town,74.1,3.7,0
Simple random,P06816,55-64,Woman,South,Urban,62.2,5.9,0
Simple random,P33834,25-34,Woman,North,Urban,79.1,5.6,0
Simple random,P22695,55-64,Woman,Scotland/Wales,Rural / small town,32.1,2.4,0
Simple random,P20885,35-44,Man,Midlands,Rural / small town,56.4,6.3,0
Simple random,P32274,45-54,Woman,Scotland/Wales,Rural / small town,50.9,3.7,0
Simple random,P16267,25-34,Woman,North,Urban,64.0,4.6,0
Simple random,P39319,65-74,Woman,North,Urban,54.4,5.3,0
Simple random,P02846,35-44,Man,South,Rural / small town,47.7,5.9,0
Simple random,P24763,65-74,Man,North,Urban,39.0,4.6,0
Simple random,P00276,65-74,Woman,North,Rural / small town,15.5,3.2,0
Simple random,P29469,18-24,Woman,Scotland/Wales,Urban,77.7,4.5,0
Simple random,P41491,55-64,Man,London,Urban,48.2,2.8,0
Simple random,P44184,35-44,Man,South,Urban,61.9,5.5,0
Simple random,P31317,35-44,Woman,Midlands,Urban,86.5,8.9,1
Simple random,P39203,45-54,Woman,South,Rural / small town,51.7,4.2,0
Simple random,P33342,25-34,Woman,North,Rural / small town,62.5,7.6,1
Simple random,P30140,18-24,Man,North,Urban,84.6,4.9,0
Simple random,P34919,55-64,Man,North,Urban,63.7,6.2,0
Simple random,P17143,18-24,Woman,Scotland/Wales,Rural / small town,51.1,6.7,0
Simple random,P34320,25-34,Man,South,Rural / small town,54.7,4.6,0
Simple random,P06397,55-64,Man,South,Urban,45.4,3.5,0
Simple random,P01433,65-74,Woman,Midlands,Rural / small town,40.9,3.6,0
Simple random,P20291,55-64,Woman,North,Rural / small town,46.1,1.7,0
Simple random,P23152,45-54,Woman,South,Urban,67.9,6.8,0
Simple random,P39124,65-74,Man,North,Urban,45.6,5.0,0
Simple random,P45548,55-64,Man,Midlands,Urban,57.3,5.2,0
Simple random,P34456,55-64,Woman,London,Urban,38.7,2.4,0
Simple random,P01187,35-44,Woman,South,Urban,66.5,8.0,1
Simple random,P16745,25-34,Woman,London,Urban,84.0,8.7,1
Simple random,P13853,18-24,Woman,North,Urban,97.6,3.1,0
Simple random,P15289,25-34,Man,North,Urban,67.3,4.1,0
Simple random,P29620,18-24,Woman,Scotland/Wales,Urban,75.3,7.8,1
Simple random,P36343,65-74,Man,London,Urban,66.5,4.4,0
Simple random,P36816,18-24,Man,Scotland/Wales,Urban,92.2,5.9,0
Simple random,P16565,18-24,Woman,Midlands,Urban,90.5,9.2,1
Simple random,P47069,65-74,Woman,Scotland/Wales,Rural / small town,29.3,2.8,0
Simple random,P00600,45-54,Woman,Scotland/Wales,Rural / small town,53.8,6.8,0
Simple random,P20459,55-64,Man,Midlands,Urban,28.7,0.9,0
Simple random,P14816,45-54,Man,North,Rural / small town,49.6,5.9,0
Simple random,P46849,55-64,Woman,Midlands,Rural / small town,47.1,3.5,0
Simple random,P48184,25-34,Man,London,Urban,97.0,8.1,1
Simple random,P42229,35-44,Woman,London,Urban,64.3,7.4,1
Simple random,P39453,25-34,Woman,London,Urban,74.8,5.6,0
Simple random,P21130,65-74,Man,Midlands,Urban,58.6,4.5,0
Simple random,P27207,45-54,Woman,South,Urban,72.9,3.8,0
Simple random,P05331,55-64,Man,Midlands,Urban,50.6,3.7,0
Simple random,P08854,18-24,Woman,Scotland/Wales,Rural / small town,71.2,1.5,0
Simple random,P23093,45-54,Woman,North,Rural / small town,27.2,0.4,0
Simple random,P14010,55-64,Man,London,Urban,51.2,7.3,1
Simple random,P24263,45-54,Man,North,Urban,58.0,3.8,0
Simple random,P13687,25-34,Woman,South,Urban,75.1,3.9,0
Simple random,P24310,55-64,Woman,South,Urban,59.0,3.5,0
Simple random,P12128,55-64,Woman,South,Urban,39.4,2.4,0
Simple random,P22818,55-64,Man,South,Urban,49.9,3.1,0
Simple random,P34807,25-34,Woman,North,Urban,93.2,5.9,0
Simple random,P37068,45-54,Woman,North,Rural / small town,45.9,6.3,0
Simple random,P31664,35-44,Woman,North,Urban,63.6,6.0,0
Simple random,P28445,55-64,Man,Midlands,Urban,63.7,3.1,0
Simple random,P45506,35-44,Woman,Midlands,Urban,72.8,4.1,0
Simple random,P01030,55-64,Woman,Scotland/Wales,Rural / small town,30.5,3.5,0
Simple random,P20678,25-34,Woman,Midlands,Urban,78.6,5.2,0
Simple random,P23812,25-34,Man,Midlands,Urban,83.4,5.5,0
Simple random,P32651,18-24,Man,Midlands,Urban,89.5,8.0,1
Simple random,P26446,45-54,Woman,Scotland/Wales,Urban,64.5,5.8,0
Simple random,P21038,25-34,Woman,Midlands,Urban,84.9,7.4,1
Simple random,P28353,65-74,Man,North,Urban,27.5,0.9,0
Simple random,P23751,25-34,Woman,London,Urban,70.1,7.9,1
Simple random,P27136,55-64,Man,North,Urban,51.3,6.3,0
Simple random,P48171,18-24,Non-binary / other,Midlands,Urban,67.7,3.9,0
Simple random,P13243,35-44,Man,South,Rural / small town,59.5,4.9,0
Simple random,P34041,65-74,Man,Midlands,Urban,46.6,3.3,0
Simple random,P03736,25-34,Man,Scotland/Wales,Urban,65.5,2.9,0
Simple random,P37331,18-24,Man,Scotland/Wales,Urban,83.1,4.0,0
Simple random,P16207,35-44,Man,Midlands,Urban,61.2,5.8,0
Simple random,P34952,65-74,Woman,London,Urban,70.8,4.1,0
Simple random,P25823,35-44,Man,South,Urban,73.5,6.4,0
Simple random,P07794,25-34,Woman,Midlands,Urban,81.1,3.4,0
Simple random,P01602,65-74,Man,London,Urban,39.4,5.1,0
Simple random,P10592,65-74,Woman,North,Urban,36.6,5.8,0
Simple random,P46924,25-34,Man,Midlands,Rural / small town,76.2,5.5,0
Simple random,P43767,45-54,Man,Midlands,Urban,55.9,4.1,0
Simple random,P46196,25-34,Man,North,Rural / small town,76.5,2.5,0
Simple random,P10194,18-24,Woman,North,Rural / small town,79.6,4.0,0
Simple random,P15025,55-64,Woman,London,Urban,69.3,5.6,0
Simple random,P32052,45-54,Man,Midlands,Urban,77.8,6.4,0
Simple random,P38878,18-24,Woman,North,Urban,89.9,5.4,0
Simple random,P35843,18-24,Man,South,Urban,64.9,4.6,0
Simple random,P26999,35-44,Woman,Scotland/Wales,Urban,86.2,4.2,0
Simple random,P04336,25-34,Man,South,Urban,80.7,4.7,0
Simple random,P18163,35-44,Man,South,Urban,95.6,7.7,1
Simple random,P37388,35-44,Man,North,Urban,66.8,5.6,0
Simple random,P21782,35-44,Woman,London,Urban,77.8,5.0,0
Simple random,P28919,45-54,Man,South,Urban,81.0,6.6,0
Simple random,P07344,55-64,Woman,Midlands,Urban,39.6,3.8,0
Simple random,P48273,65-74,Man,North,Urban,48.8,2.0,0
Simple random,P00496,55-64,Woman,London,Urban,60.4,7.4,1
Simple random,P11576,45-54,Man,Midlands,Urban,46.8,2.6,0
Simple random,P23553,18-24,Man,South,Urban,98.4,5.7,0
Simple random,P30716,65-74,Man,London,Urban,35.9,4.6,0
Simple random,P38901,45-54,Man,South,Urban,79.3,7.1,1
Simple random,P32840,45-54,Man,South,Urban,57.9,5.0,0
Simple random,P23473,35-44,Woman,Midlands,Urban,71.8,4.5,0
Simple random,P08835,35-44,Non-binary / other,North,Rural / small town,49.7,7.4,1
Simple random,P45097,45-54,Man,Scotland/Wales,Rural / small town,61.8,4.3,0
Simple random,P32622,18-24,Man,Midlands,Rural / small town,75.0,4.8,0
Simple random,P40845,18-24,Woman,South,Urban,66.0,6.0,0
Simple random,P10414,55-64,Man,Midlands,Urban,53.1,4.5,0
Simple random,P19375,55-64,Woman,South,Rural / small town,48.9,4.0,0
Simple random,P31520,65-74,Man,South,Urban,35.0,2.2,0
Simple random,P12125,25-34,Woman,South,Rural / small town,73.9,6.2,0
Simple random,P13810,35-44,Man,Scotland/Wales,Urban,69.8,8.4,1
Simple random,P16777,45-54,Man,Midlands,Urban,63.6,5.6,0
Simple random,P38113,55-64,Man,Midlands,Urban,58.6,3.7,0
Simple random,P02853,35-44,Woman,South,Rural / small town,65.8,2.5,0
Simple random,P12401,35-44,Woman,South,Rural / small town,57.3,5.8,0
Simple random,P19329,35-44,Man,Scotland/Wales,Rural / small town,66.3,3.5,0
Simple random,P28998,55-64,Man,South,Urban,40.7,5.2,0
Simple random,P21348,18-24,Man,South,Rural / small town,76.2,5.3,0
Simple random,P05386,45-54,Woman,Midlands,Rural / small town,58.9,4.1,0
Simple random,P24721,55-64,Woman,North,Urban,59.9,4.5,0
Simple random,P18789,35-44,Woman,London,Urban,71.6,7.1,1
Simple random,P46872,35-44,Woman,South,Rural / small town,67.1,5.0,0
Simple random,P06211,45-54,Woman,North,Urban,73.2,2.8,0
Simple random,P39866,25-34,Man,North,Urban,84.0,7.7,1
Simple random,P21717,18-24,Man,London,Rural / small town,79.4,2.9,0
Simple random,P17991,25-34,Woman,North,Rural / small town,66.3,5.1,0
Simple random,P18012,55-64,Woman,Scotland/Wales,Rural / small town,42.5,1.7,0
Simple random,P47734,25-34,Man,South,Urban,76.4,7.7,1
Simple random,P07373,35-44,Man,North,Rural / small town,69.2,3.0,0
Simple random,P45315,45-54,Woman,South,Urban,74.2,4.8,0
Simple random,P46572,55-64,Woman,South,Urban,63.9,1.7,0
Simple random,P48236,65-74,Man,Midlands,Urban,59.6,7.8,1
Simple random,P20922,65-74,Man,North,Urban,35.2,3.1,0
Simple random,P06300,65-74,Woman,North,Urban,63.0,5.8,0
Simple random,P36876,25-34,Man,North,Urban,94.9,5.9,0
Simple random,P46153,45-54,Man,Scotland/Wales,Urban,72.6,5.9,0
Simple random,P19088,55-64,Man,South,Urban,46.6,5.0,0
Simple random,P13385,18-24,Man,North,Urban,64.0,5.2,0
Simple random,P33534,45-54,Woman,South,Urban,63.7,6.9,0
Simple random,P02803,35-44,Woman,London,Urban,46.5,5.8,0
Simple random,P29587,55-64,Man,Scotland/Wales,Urban,45.6,1.6,0
Simple random,P13623,65-74,Woman,Midlands,Rural / small town,20.7,1.4,0
Simple random,P49171,55-64,Man,Scotland/Wales,Urban,39.8,4.4,0
Simple random,P35304,25-34,Woman,South,Urban,80.4,4.8,0
Simple random,P09296,25-34,Woman,South,Urban,66.3,3.6,0
Simple random,P28631,55-64,Woman,Scotland/Wales,Urban,41.0,6.1,0
Simple random,P23683,25-34,Woman,London,Urban,83.6,8.2,1
Simple random,P35301,35-44,Woman,Midlands,Urban,51.1,6.4,0
Simple random,P34824,65-74,Woman,Midlands,Urban,37.7,4.2,0
Simple random,P02659,55-64,Man,Scotland/Wales,Rural / small town,27.7,4.0,0
Simple random,P30740,65-74,Woman,North,Rural / small town,31.9,0.8,0
Simple random,P18457,18-24,Woman,London,Urban,94.0,7.0,1
Simple random,P23649,35-44,Woman,Midlands,Rural / small town,61.9,6.2,0
Simple random,P35345,65-74,Woman,North,Urban,36.4,6.2,0
Simple random,P02571,45-54,Woman,Midlands,Urban,71.2,4.9,0
Simple random,P07303,18-24,Man,North,Urban,66.7,6.6,0
Simple random,P22635,65-74,Man,South,Rural / small town,42.5,5.6,0
Simple random,P24832,55-64,Woman,London,Urban,38.7,3.4,0
Simple random,P16597,35-44,Woman,North,Urban,52.2,1.9,0
Simple random,P41944,25-34,Man,South,Urban,71.8,6.4,0
Simple random,P41185,25-34,Man,Midlands,Rural / small town,60.6,5.1,0
Simple random,P45452,45-54,Man,North,Rural / small town,36.5,1.9,0
Simple random,P48465,45-54,Man,South,Urban,59.5,4.4,0
Simple random,P16750,55-64,Man,North,Urban,70.6,5.9,0
Simple random,P41267,55-64,Woman,South,Rural / small town,19.6,0.6,0
Simple random,P26431,35-44,Woman,Midlands,Urban,78.0,6.7,0
Simple random,P29553,65-74,Man,London,Urban,60.0,3.5,0
Simple random,P06966,45-54,Man,Scotland/Wales,Urban,83.6,4.8,0
Simple random,P01156,65-74,Woman,North,Rural / small town,45.7,1.8,0
Simple random,P46301,18-24,Man,Scotland/Wales,Rural / small town,75.5,7.8,1
Simple random,P33209,55-64,Woman,South,Urban,54.2,4.4,0
Simple random,P32113,55-64,Woman,North,Urban,31.4,4.9,0
Simple random,P02028,25-34,Woman,North,Urban,87.7,3.8,0
Simple random,P14987,35-44,Woman,Midlands,Urban,100.0,5.1,0
